Data collected from user; f0bc970202270f40 with the class; 1 and value; [-2.1547816, 4.2281604, 8.389283, 3.064578, -8.75799, 4.0892963, 3.3039982, -9.380483, 3.7828386, 3.074155, -9.184157, 4.098873, 3.1507695, -9.074024, 4.0797195, 2.8443117, -9.361329, 3.98874, 2.873042, -8.791509, 4.951209, 3.3806129, -8.839393, 4.5777135, 3.3806129, -8.8777, 4.501099, 3.2465374, -8.959103, 4.6782703, 3.1555579, -8.8777, 5.0134583, 3.0597897, -9.069236, 4.4723687, 2.7389667, -9.222465, 4.6351743, 3.5003228, -8.815451, 4.510676, 3.1986535, -9.040505, 4.4101195, 3.1603463, -8.825027, 4.55856, 3.040636, -8.983045, 4.453215, 2.96881, -8.963891, 4.390966, 2.8682537, -8.743625, 4.912902, 2.954445, -8.690952, 4.88896]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.31124622, -5.185841, 8.303091, -0.038307227, -4.7979803, 9.059659, -0.23463176, -4.5872903, 9.02614, -0.40222588, -4.4005427, 8.935161, 0.90021986, -5.21936, 8.690952, 1.8483237, -7.249643, 7.1395097, 1.8531121, -7.2544312, 7.2544312, 3.169923, -6.9527617, 6.885724, 2.566584, -7.4507556, 6.325481, 2.3894134, -7.608773, 6.8186865, 2.6527755, -8.590396, 5.046977, 2.3798366, -9.332599, 4.5537715, 2.4277205, -8.441956, 5.410896, 2.2409728, -9.006987, 4.8698063, 2.0207062, -8.896853, 4.8506527, 0.02873042, 0.545878, 9.739613, 0.17717093, -0.47405192, 10.0508585, 2.2170308, -3.5577838, 9.490616, 1.5370775, -4.036624, 9.3182335, 1.115698, -3.9935284, 9.193734]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.4405331, -8.212111, 6.5265937, -1.3934253, 2.111686, 8.135497, 1.1779473, -8.772355, 5.861006, 0.521936, -2.4229321, 9.710882, 0.090979666, -4.510676, 9.203311, -0.1436521, -5.0182467, 8.944737, -0.08619126, -5.2289367, 8.949526, -0.2777274, -5.1140146, 8.853758, -0.4357447, -5.118803, 8.944737, -0.31603462, -5.5401826, 8.566454, 0.93373865, -6.5361705, 7.872135, 1.3982137, -3.122039, 8.111555, 0.91458505, -8.944737, 5.195418, 0.9959879, -8.5473, 5.971139, 1.3024458, -8.394072, 5.8083334, 1.541866, -8.010999, 5.8226986, -0.79008657, 1.4269443, 9.619903, 2.6001031, -8.868123, 5.0038815, 2.3511062, -8.75799, 4.7548847, 1.8914193, -7.953538, 7.4746976]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [1.5466543, -10.721235, 1.316811, 3.0597897, -8.724471, 3.5194764, 0.47884035, -10.783484, -0.5410896, 2.6671407, -9.356541, 6.215348, 3.53863, -9.399636, -2.906561, 2.9975405, -9.706094, -1.6711528, 3.2465374, -9.739613, -2.3080103, 3.2944214, -9.80665, -2.4612393, 3.1411927, -9.514558, -2.1404164, 3.0933087, -9.739613, -2.2649148, 3.122039, -9.964667, -2.3942018, 3.2704794, -9.902418, -2.0973208, 3.0214825, -9.935937, -2.4133554, 3.064578, -10.04607, -2.4229321, 3.0454245, -9.816227, -2.1787236, 3.0071173, -9.983821, -2.408567, 3.040636, -9.902418, -2.183512, 2.753332, -9.821015, -2.2026656, 3.0550013, -9.916783, -2.3894134, 1.8818425, -9.514558, -3.6343982]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-8.7532015, -3.5913026, 1.9297266, -8.63828, -4.1946416, 2.1978772, -9.332599, -2.9975405, 0.34955344, -8.724471, -3.4620156, 1.934515, -9.351752, -2.60968, 0.5602432, -2.4133554, -6.967127, -1.0247183, 3.107674, -8.959103, 0.79487497, -0.4261679, -8.221688, 0.5506664, -0.78529817, -9.701305, 3.2082303, -10.740389, -3.2800562, 4.3766007, -2.5091233, -7.4746976, 8.887277, -2.2601264, -5.3103395, 8.178593, 0.12928689, -3.4093432, 7.967903, -1.2689269, -5.1666875, 8.647857, -0.47405192, -2.7820623, 10.658986, 1.6136919, -3.4476504, 7.465121, -0.8523358, -3.4955344, 9.3421755, -0.90979666, -3.7588966, 9.375694, -0.7038953, -3.5769374, 9.524135, 2.3223755, -3.8738184, 6.0477533]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-2.906561, -2.4037786, 12.028469, -1.3982137, 6.4260373, 6.435614, -1.757344, 6.157887, 6.8043213, -0.3878607, 6.5936313, 6.555324, -0.60812724, 6.4787097, 6.646304, -0.9624691, 4.7548847, 8.049306, -0.6464345, 5.5401826, 8.030152, 0.6655881, 5.923255, 7.3406224, 0.14844051, 5.7508726, 7.3406224, 3.1651347, -9.77792, 6.253655, 1.1300632, 3.6870706, 8.920795, 0.06703765, 3.5769374, 9.184157, -0.93852705, -1.3503298, 10.232818, -4.050989, -5.8083334, 6.588843, -8.75799, -5.861006, 1.7477672, -5.7843914, -5.439626, 3.3135753, -6.588843, -5.717354, -0.4357447, -8.0924015, -5.722142, 0.37828386, -8.968679, -3.9456444, 1.1013328, -8.810662, -3.9025488, 0.93373865]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-1.5945383, -3.8881836, 9.222465, -1.8387469, -4.3143516, 8.90643, -0.6368576, -3.940856, 9.385271, -0.36391866, -2.542642, 9.619903, 0.80924016, -3.2800562, 9.5385, 0.40701428, -10.0029745, 2.3558946, 0.79487497, -10.376471, 1.3790601, 1.3503298, -10.199299, 2.4756045, 0.7038953, -10.352529, 2.207454, 0.7422025, -10.055647, 2.3415294, 0.59855044, -9.787497, 3.643975, 0.61291564, -9.768343, 3.9695864, 0.79487497, -8.327033, 6.301539, 0.5650316, -8.48984, 6.1626754, 0.61770403, -8.868123, 5.080496, 0.2681506, -8.192958, 6.4308257, 0.14844051, -8.178593, 6.3446345, 0.22505496, -8.212111, 6.5601125, -1.067814, -9.485827, 3.9743748, 0.047884032, 6.0525417, 7.4268136]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.5315128, 1.9776106, 10.376471, 1.2641385, 1.757344, 4.9081135, 1.5801731, -4.6686935, 8.863335, 1.1923125, -5.4300494, 8.671799, 1.2306197, -5.33907, 8.470686, 0.01436521, -0.4405331, 9.615114, -0.07182605, -3.6248214, 9.088389, 0.82360536, -5.33907, 8.743625, -1.3359646, -2.873042, 9.279925, 1.5370775, -4.8937483, 8.959103, 1.2593501, -4.3861775, 9.021352, 1.0534488, -4.4244847, 9.11712, 1.3742718, -4.3766007, 9.112331, -0.9624691, -1.4173675, 9.816227, -0.79008657, -1.8914193, 9.605537, 0.07182605, -0.9720459, 10.151415, 0.51714754, -6.191406, 8.087613, -0.6991069, -5.473145, 8.288726, -0.41180268, -6.3206925, 8.379706, -0.6703765, -2.8443117, 8.614338]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [2.6048915, -10.208876, 0.521936, 2.6144683, -9.983821, 1.1204864, 2.360683, -10.151415, 1.508347, 3.940856, -5.094861, -6.9719152, 1.2545617, -9.749189, 2.5330653, -0.5267244, -8.820239, 5.875371, 1.0390835, -10.1226845, 3.0693667, 1.283292, -15.935806, 4.6399627, 1.7142484, -8.221688, 5.971139, 1.6807296, -8.221688, 6.2967505, 1.4173675, -9.725247, 5.9424086, 0.29209262, -9.787497, 2.9400797, 0.17717093, -9.481039, 4.5154643, 6.895301, -1.8100165, 4.8506527, 6.727707, -0.090979666, 4.1419687, 0.41180268, -5.57849, 8.437167, 0.33039984, -5.8466406, 8.283937, 0.39743748, -5.8562174, 8.384495, 4.1802764, -5.779603, 6.2105594, 3.9456444, -8.628703, 4.7740383]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.46447513, -6.133945, 8.508993, 5.1475334, -8.231265, 4.414908, 2.336741, -7.920019, 5.7987566, 2.791639, -7.8290396, -6.2345014, 2.2122424, -8.585608, -5.813122, 2.360683, -9.011775, -4.951209, 2.60968, -8.781932, -5.046977, 2.585738, -8.39886, -5.693412, 4.0174704, -8.169016, -4.759673, 3.8977604, -8.269572, -5.544971, 3.064578, -8.049306, -5.6407394, 3.9264908, -8.135497, -5.118803, 3.3614593, -8.073248, -5.00867, 2.6001031, -7.991845, -5.0278234, 1.8052281, -6.7947445, -7.417237, 0.7565677, -10.429143, -2.1643584, -4.122815, -0.33997664, 7.632715, 2.0015526, -10.802638, -1.6472107, 3.1842883, -9.935937, 0.34476504, 3.265691, -10.065224, -0.60812724]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.59855044, -3.6343982, 9.437943, 0.8858546, -5.2528787, 8.801085, 0.22984336, -5.243302, 8.145074, 0.12928689, -5.9184666, 8.303091, -0.81881696, 0.21547815, 9.409213, 0.7230489, -4.185065, 8.781932, 1.4796166, -4.7740383, 9.093178, 0.7086837, -5.171476, 8.901642, -1.4987702, -6.991069, 8.202535, 0.80445176, 0.12449849, 9.619903, 2.0446482, -3.9695864, 8.470686, -1.8818425, -10.802638, 4.3861775, -2.4756045, -7.843405, 6.0046577, -2.695871, -7.6949644, 6.220136, -2.0207062, -7.714118, 6.411672, -2.5570073, -7.5465236, 6.133945, -2.7389667, -7.8625584, 5.8945246, -2.1260512, -1.5897499, 9.260772, -2.3175871, -2.791639, 9.069236, -2.8491, -7.551312, 6.277597]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.842759, -4.333505, 9.208099, 0.545878, -4.4675803, 9.14585, 0.14844051, -4.237737, 9.227253, 1.0103531, -4.429273, 9.23683, 1.1492168, -4.31914, 9.32781, 1.1971009, -4.357447, 9.179369, 1.0007763, -4.333505, 9.078813, 0.6991069, -3.9121256, 9.44752, 1.163582, -3.821146, 9.002198, 1.388637, -4.8841715, 9.093178, 1.2401965, -5.0517654, 8.508993, 1.6950948, -3.7110126, 9.251195, 1.6567876, -3.9983168, 9.356541, 1.0055647, -3.1364043, 9.050082, 0.038307227, -3.7445314, 9.495404, 0.076614454, -1.8531121, 9.931149, 0.61770403, -5.2289367, 7.8625584, 0.5746084, -5.2480903, 8.413225, -0.30645782, -4.6782703, 9.006987, -0.60812724, -4.2760444, 8.719683]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.5267244, -9.184157, 0.5410896, -0.05267244, -2.6910827, 9.763555, 0.095768064, -3.5098996, 9.41879, 1.0534488, -2.681506, 9.615114, 1.4413095, -2.3798366, 9.744401, 1.5801731, -2.4277205, 9.859323, 2.1212628, -3.1364043, 9.595961, 1.7429788, -2.896984, 9.495404, 1.8626889, -3.0310593, 9.490616, 1.7764976, -2.9496565, 9.5385, 1.8962077, -2.9831753, 9.672575, 1.9153614, -2.9879637, 9.466674, 1.6567876, -3.1794999, 9.442732, 1.5035586, -3.107674, 9.634268, 1.7286136, -3.1890767, 9.390059, 1.4221559, -3.1747115, 9.500193, 1.460463, -3.6008794, 9.500193, 1.6711528, -3.514688, 9.390059, 1.4939818, -3.442862, 9.624691, 1.3934253, -3.7445314, 9.294291]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-1.3838485, -7.493851, 6.315904, -2.0733786, -7.422025, 6.5696893, -2.1643584, -7.0245876, 7.067683, -2.0733786, -7.086837, 6.7324953, -1.8722657, -6.9383965, 7.1059904, -1.7956513, -6.885724, 7.2209125, -1.8914193, -7.1059904, 7.07726, -1.9919758, -7.038953, 7.153875, 3.016694, -16.711529, 2.8299465, -1.2641385, -6.26802, 8.025364, 0.7374141, -10.271125, -0.8762778, 0.5650316, -10.654198, -1.13964, 0.770933, -10.323798, -0.29209262, 0.24899697, -10.817003, 0.6895301, 0.48362875, -10.271125, 0.9576807, -0.023942016, -11.597513, 9.169792, 0.4213795, -8.614338, 5.693412, 0.35434186, -9.394848, 4.55856, -0.39264908, -8.178593, 6.1100025, -0.047884032, -10.922348, 1.3982137]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-3.064578, -1.757344, 9.251195, -3.074155, -2.4708161, 9.045294, -3.1747115, -3.5003228, 8.695741, -3.1172507, -2.9496565, 8.839393, -3.1603463, -2.6479871, 9.155427, -3.016694, -2.8443117, 8.916007, -3.0885203, -3.2034419, 8.542512, -3.1507695, -3.4955344, 8.700529, -3.217807, -3.3327289, 8.762778, -3.0789435, -2.930503, 8.872911, -3.1364043, -2.815581, 9.054871, -3.1747115, -3.8977604, 8.499416, -3.1651347, -3.2992098, 8.839393, -3.1364043, -2.6671407, 9.370906, -2.0685902, -5.755661, 8.465898, -1.2737153, -3.7924154, 9.672575, -1.982399, -2.9640217, 9.112331, -1.1587936, -8.360553, 6.090849, -0.770933, -8.111555, 6.301539, -2.1883004, -8.020576, 6.5505357]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [1.1923125, -6.7708025, 6.5122285, -1.4987702, -4.1706996, 9.797073, -3.098097, -3.5529952, 8.868123, -2.9879637, -3.5817258, 8.820239, -2.791639, -3.916914, 8.78672, -2.8538885, -3.7828386, 8.839393, -2.96881, -3.1172507, 8.911219, -2.8778305, -3.0262709, 9.131485, -2.873042, -3.514688, 8.935161, -3.0358477, -4.0414124, 8.465898, -3.0358477, -4.027047, 8.465898, -3.1651347, -4.1180267, 8.441956, -3.1555579, -3.98874, 8.508993, -2.906561, -3.347094, 8.542512, -3.064578, -4.0222588, 8.571242, -2.9783869, -3.8786068, 8.623915, -3.1172507, -4.156334, 8.825027, -3.0597897, -3.6822822, 8.954314, -3.1986535, -3.572149, 8.719683, -3.0597897, -3.715801, 8.355764]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.8714894, -9.89763, -1.2401965, 0.7182605, -10.572795, -0.033518825, 0.33518824, -10.55843, -0.51714754, 0.29209262, -10.481815, 1.5179238, 1.7717092, -10.400413, 2.9400797, 0.08619126, -10.395624, 1.9967642, 0.0047884034, -10.376471, 1.3934253, -0.17238252, -10.548853, 1.9632454, 0.22505496, -10.955867, -0.1388637, 0.22026655, -9.830592, 2.9735985, -0.21068975, -10.189722, 1.8914193, -0.18674773, -9.375694, 1.685518, 0.08140286, 3.323152, 8.269572, -0.46447513, -6.9240313, 7.1155677, 1.0151415, -9.370906, 4.630386, 1.1348516, -6.1626754, 8.054094, -1.9919758, -2.087744, 10.673351, -6.301539, -4.8506527, 5.765238, -4.0174704, -5.947197, 6.981492, 0.49320555, -5.0421886, 7.819463]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-4.189853, -9.203311, 0.7278373, -5.4204726, -7.867347, 2.767697, -5.7748146, -8.250419, 1.8770541, -4.7165775, -9.126697, 0.2681506, -3.892972, -8.90643, 0.06703765, 2.4420857, -9.849746, -0.7565677, -0.6655881, -9.619903, -0.0047884034, -1.1923125, 1.4748282, 7.97748, -4.0318356, -7.2927384, 3.9264908, -3.9456444, -8.149862, 1.958457, -5.1235914, -8.7053175, 2.0015526, -4.5681367, -8.810662, 1.1061212, -4.4580035, -8.882488, 1.0007763, -4.122815, -10.007763, -0.34955344, -4.4005427, -10.352529, -0.80924016, -4.620809, -10.400413, -0.6943185, -3.7828386, -7.9391727, -0.2633622, -3.4141316, -7.536947, 0.7278373, -3.074155, -6.933608, 2.1452048, -3.2130187, -8.504205, 0.16280572]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-4.7165775, -8.049306, 1.0055647, -4.879383, -7.417237, 1.8052281, -5.267244, -7.651869, 1.8435353, -6.6606693, -7.479486, 2.6240451, -6.349423, -8.350976, 1.7429788, -5.645528, -8.350976, 1.4508862, -4.050989, -7.086837, 0.9816227, -6.3685765, -9.169792, 2.5570073, -5.707777, -8.882488, 0.4309563, -0.47405192, 3.5482068, 7.6375036, -6.196194, -7.4363904, 4.271256, -4.8985367, -6.8186865, 3.9217024, -5.985504, -7.824251, 4.8027687, -6.215348, -7.40766, 4.10845, -5.281609, -8.456321, 2.801216, -4.912902, -7.015011, 3.2369606, -2.087744, 2.360683, 9.069236, -6.670246, -17.468096, 11.161768, -5.6407394, -7.7572136, 5.57849, 6.397307, -9.423578, -0.40222588]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-3.3183637, -0.49799395, 9.112331, -3.1842883, -0.5554548, 9.184157, -3.3901896, -0.51235914, 9.208099, -3.2321723, -0.7661445, 9.021352, 0.5554548, -3.715801, 9.088389, -2.9496565, 0.08619126, 9.069236, -3.0214825, -0.866701, 9.68694, -0.7661445, 1.934515, 6.26802, -0.49320555, 1.0773908, 9.572019, -0.33039984, 0.7613561, 9.610326, -0.45010993, 0.770933, 9.734824, -0.3878607, 0.7517793, 9.706094, -0.5410896, 0.6512229, 9.749189, -0.6560113, 0.641646, 9.844957, -0.48362875, 0.6368576, 9.77792, -0.47884035, 0.50278234, 9.787497, -0.4261679, 0.50278234, 9.868899, -0.521936, 0.51714754, 9.821015, -0.62249243, 0.58418524, 9.797073, -0.48362875, 0.50757074, 9.840169]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [5.109226, -9.500193, 4.074931, 2.6671407, -9.351752, 5.1571107, 2.8443117, -8.796297, 6.9527617, 5.2863975, 1.5993267, 7.398083, -3.193865, 4.9320555, 6.9240313, -3.6152446, 0.9576807, 8.714894, -3.2130187, 0.7182605, 8.963891, -3.2513258, 0.50757074, 9.02614, -3.3183637, 0.08619126, 9.255983, -3.2513258, 0.16759412, 9.251195, -3.1172507, 0.22026655, 9.174581, -3.2225955, -0.019153614, 9.050082, -3.3279405, 0.30645782, 9.045294, -3.1172507, 0, 8.916007, -3.4620156, 0.49320555, 9.284714, -3.5098996, 0, 9.241618, -3.3614593, 0.10055647, 9.198523, -3.3039982, 0.10055647, 9.088389, -3.1555579, -0.4309563, 9.332599, -3.4380736, -0.33039984, 9.284714]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [1.4748282, -0.9720459, 7.9870567, -0.46447513, 4.1036615, 9.586384, -0.33997664, -0.7661445, 9.830592, 2.1978772, 1.7621324, 9.370906, 3.2225955, -0.17238252, 9.040505, 0.9816227, -7.2687964, 7.302315, 3.0550013, -8.317456, 4.6160207, 0.79966336, -8.829816, 6.9479733, 3.6248214, -5.813122, 8.015787, 2.8634653, -3.6104562, 9.11712, 2.8778305, -3.3039982, 9.14585, 2.5378537, -3.2848446, 9.519346, 1.6950948, -3.643975, 9.299079, 3.4237084, 0.18674773, 7.144298, 3.892972, -7.5321584, 5.779603, 3.2130187, -7.5082164, 5.8083334, 2.327164, -6.3925185, 7.680599, 1.685518, -8.389283, 6.229713, 1.6807296, -6.3206925, 7.369353, 3.2082303, -10.117896, 1.8243817]
