Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.30166942, -10.338163, 1.4173675, 0.4165911, -10.338163, 1.5658079, 0.4309563, -10.314221, 1.5849615, 0.36391866, -10.414778, 1.1348516, 0.45968673, -10.338163, 1.7477672, 0.2681506, -10.093954, 2.3463178, 0.24899697, -10.218452, 2.0685902, 0.38307226, -10.199299, 2.3415294, 0.3878607, -10.204087, 2.1212628, 0.272939, -10.218452, 2.183512, 0.4165911, -10.141838, 2.1164744, -0.08140286, -10.266336, 2.743755, -0.07182605, -9.945514, 2.8682537, -0.12449849, -10.0748005, 3.0262709, -0.24420857, -9.907207, 3.1411927, -0.9864111, -11.621455, 1.1252748, -0.21068975, -4.548983, 7.881712, -3.9456444, -2.5761611, 8.556877, -3.7253778, -3.845088, 8.595184, -3.1268275, -2.3654714, 8.734048]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.5315128, -9.907207, 3.4141316, -0.15322891, -9.720459, 3.6104562, -0.22984336, -9.595961, 3.7253778, 1.163582, -14.623784, 6.421249, -0.7086837, 5.3438582, 7.6135616, -0.49799395, 2.7868507, 9.945514, 0.05267244, -9.916783, 3.9121256, -0.48841715, -8.920795, 5.3821654, 0.35913026, 2.135628, 8.355764, 0.93373865, -13.220781, 4.3957543, 0.6703765, -10.290278, 1.1348516, 0.40701428, -10.429143, 1.3982137, 0.59376204, -10.443508, 1.2306197, 0.49799395, -10.400413, 1.2880806, 0.5650316, -10.424355, 1.3790601, 0.35434186, -10.295067, 1.388637, 0.6512229, -9.945514, 1.4460979, 0.37349546, -10.323798, 1.484405, 0.34955344, -10.228029, 1.4317327, 0.2681506, -10.271125, 1.5179238]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.3878607, -7.953538, 6.5601125, -0.5602432, -7.872135, 6.6606693, -0.4261679, -7.690176, 6.775591, -0.49799395, -7.4746976, 7.086837, -0.49320555, -7.5225816, 7.053318, -0.5602432, -7.129933, 7.1251445, -0.61770403, -7.469909, 7.067683, -0.51714754, -7.7332716, 7.0245876, -0.61291564, -7.240066, 7.1059904, -0.48362875, -7.489063, 7.091625, -0.19632454, 3.9264908, 8.585608, -1.1013328, -1.5753847, 9.217676, -2.1930888, -1.757344, 9.433155, -2.078167, -1.9009962, 9.629479, -2.4468741, -2.4468741, 9.481039, -2.3080103, -2.633622, 9.126697, -2.9257145, -4.745308, 5.0278234, 0.50757074, 8.09719, 4.0462008, -0.59855044, 8.001422, 4.309563, -0.770933, 7.800309, 4.3382936]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.4213795, -5.5401826, 8.513782, -0.5650316, -5.583278, 8.480263, -0.48841715, -5.6215854, 8.418014, -0.50278234, -5.5641246, 8.561666, -0.61291564, -5.57849, 8.63828, -0.58897364, -5.559336, 8.456321, -0.35434186, -5.6886234, 8.451532, -0.5363012, -5.6359506, 8.212111, -0.58897364, -5.592855, 8.451532, -0.5315128, -5.631162, 8.350976, -0.5602432, -5.6359506, 8.523358, -0.2825158, -5.770026, 8.418014, -0.34476504, -5.650316, 8.528147, -0.6655881, -5.7029886, 8.662222, 0.6847417, -10.386047, 1.5562311, 0.29209262, -11.678916, 2.7868507, 8.0924015, -0.14844051, 5.78918, 7.28795, 4.1515455, 4.831499, 7.6375036, 4.1276035, 4.5777135, 6.2392898, 4.903325, 4.2521024]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.22984336, -5.7029886, 8.542512, -0.24420857, -5.5976434, 8.475474, -0.30166942, -5.683835, 8.42759, -0.4213795, -5.5162406, 8.571242, -0.3878607, -5.616797, 8.465898, -0.50278234, -5.439626, 8.537724, -0.545878, -5.2959743, 8.63828, -0.62249243, -5.3725886, 8.566454, -0.59376204, -5.3725886, 8.394072, -0.58897364, -5.3678, 8.63828, -0.46447513, -5.410896, 8.6574335, -0.6464345, -5.080496, 8.66701, -0.51235914, -5.209783, 8.6334915, -0.58897364, -5.329493, 8.872911, -0.6607997, -5.1810527, 8.690952, -0.842759, -5.0900726, 8.820239, -0.7565677, -5.1571107, 8.7053175, -0.7661445, -5.161899, 8.7053175, -0.7230489, -5.133168, 8.844181, -0.8619126, -5.1762643, 8.159439]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.7469909, -7.608773, 7.053318, -0.49799395, -7.1490865, 7.3645644, -0.545878, -7.4842744, 7.383718, -0.44532153, -7.043741, 7.2592196, -0.39743748, -7.225701, 7.2927384, 3.6822822, -10.472239, 8.959103, 8.935161, -3.145981, 4.285621, 8.939949, -2.7724855, 4.390966, 8.619126, -2.5378537, 4.7884035, 8.796297, -2.6910827, 4.673482, 8.825027, -2.6767175, 4.9559975, 8.647857, -2.6192567, 5.0134583, 8.671799, -2.8203697, 5.056554, -0.9720459, -6.4547677, 9.691729, -1.5370775, -4.3766007, 8.78672, -3.3135753, -4.156334, 12.291832, -2.7724855, -6.4020953, 7.848193, 3.7684734, -7.9822683, 4.6399627, -0.7278373, -10.697293, -1.5705963, -0.6560113, -10.515334, -0.047884032]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.15322891, 7.9343843, 3.9504328, 3.016694, 9.763555, 8.619126, -5.439626, -5.3965306, 6.3781533, -4.9176903, -5.463568, 6.823475, -4.7644615, -5.425261, 6.981492, -4.7165775, -5.2385135, 7.091625, -4.855441, -5.21936, 6.9527617, -4.745308, -5.118803, 7.0820484, -5.0900726, -4.8985367, 7.0964136, -5.2002063, -4.6782703, 6.967127, -5.377377, -4.6686935, 7.038953, -5.257667, -4.43885, 7.053318, -5.6215854, -8.303091, 9.461885, -1.9393034, 3.6056678, 8.303091, -0.5267244, 2.6192567, 9.3421755, 0.15322891, 0.2825158, 10.6398325, -0.56982, -6.8905125, 7.7572136, -0.7422025, -7.015011, 7.311892, -0.7038953, -7.1826053, 7.053318, -0.62249243, -7.374141, 7.536947]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.08619126, -10.266336, 1.0390835, 0.30166942, -10.433931, 0.93373865, 0.21068975, -10.424355, 1.1204864, 0.29209262, -10.352529, 1.1204864, 0.35434186, -9.950302, 2.0494366, 0.33518824, -10.515334, 1.2066777, 0.25378537, -10.357317, 1.0582372, 0.0047884034, -11.942278, -0.59376204, 3.2225955, -5.243302, 1.7286136, 2.8682537, -9.9550905, -0.51714754, 2.6144683, -10.539276, 0.12449849, 2.4756045, -10.007763, 2.1068976, 1.934515, -10.108319, 1.9249382, 2.054225, -10.19451, 1.5275006, 2.078167, -10.34774, 1.4700398, 2.384625, -10.290278, 1.1779473, 2.3175871, -10.242394, 1.2785037, 2.1643584, -10.218452, 1.4173675, 1.9776106, -10.280702, 1.3982137, 2.087744, -10.208876, 1.4987702]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-0.20590134, -9.911995, 3.0214825, -1.2210429, -13.814544, 8.643068, -1.460463, 0.60333884, 9.595961, 0.076614454, -9.739613, 3.4093432, 0.6847417, -10.314221, -1.2641385, 0.63206923, -10.496181, -1.1779473, 0.5363012, -10.089166, -1.340753, -3.5865142, -9.002198, 3.3518825, -1.4939818, -9.294291, 0.9720459, 0.4357447, -10.419566, -1.7429788, -0.37828386, -8.48984, 4.999093, -1.8866309, -5.3678, 8.331821, -1.3263878, -4.663905, 8.6813755, -2.585738, -4.7548847, 8.274361, -2.7150247, -4.381389, 8.528147, -2.7964275, -4.735731, 8.676587, -2.0494366, -5.1571107, 8.379706, 3.466804, -9.591172, 6.0716953, 4.7644615, -9.404425, 2.1452048, 0.1340753, -10.448297, 0.80445176]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [1.283292, -3.892972, 8.710106, 1.2593501, -5.023035, 8.796297, 1.3742718, -4.9464207, 8.772355, 1.3215994, -4.903325, 8.748413, 0.8283938, -5.1810527, 8.939949, 0.9959879, -5.2624555, 8.963891, 0.7469909, -5.3103395, 9.141062, 0.81402856, -5.33907, 9.212888, 0.9911995, -5.0517654, 9.212888, 1.4700398, -4.596867, 8.183381, 0.51714754, -6.3589997, 8.66701, 1.2976574, -5.3438582, 8.0445175, 1.0582372, -4.132392, 9.169792, -0.9528923, -4.7165775, 8.939949, -0.93852705, -4.855441, 8.791509, -1.091756, -5.133168, 8.66701, -1.067814, -5.6215854, 8.446744, -1.3551182, -5.535394, 8.374918, -0.6703765, -7.07726, 8.212111, -0.20590134, -7.5321584, 6.8761473]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-2.3175871, -7.517793, 6.670246, -0.6512229, -6.469133, 7.627927, -0.7422025, -6.943185, 7.469909, -0.7469909, -6.847417, 7.632715, -0.7326257, -6.7468605, 7.7428484, -1.0295067, -6.631939, 7.603985, -0.8714894, -6.5936313, 7.699753, -0.7469909, -6.1004257, 8.298303, -1.532289, -6.5601125, 7.675811, -2.3127987, -7.565677, 7.369353, 7.455544, -5.899313, 4.050989, 8.441956, -4.213795, 3.596091, 9.074024, -2.6767175, 4.333505, 8.829816, -3.2130187, 4.1659107, 8.738836, -3.3327289, 4.6016555, 6.885724, -4.620809, 6.2632318, 1.4317327, -6.766014, 7.9870567, 0.6943185, -5.449203, 8.901642, 0.82360536, -3.5673606, 9.634268, 2.0925324, -3.2752678, 9.423578]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-2.2697031, -5.9519854, 7.843405, -2.5330653, -6.1626754, 7.589619, -1.7956513, -7.264008, 6.943185, -1.9728222, -6.6606693, 7.489063, -1.340753, -6.445191, 7.7811556, -0.2633622, -6.181829, 8.09719, -0.8331822, -6.325481, 7.824251, 0.047884032, -6.26802, 7.8625584, 0.30166942, -6.421249, 7.9104424, -1.1731589, -7.872135, 6.9240313, -1.3215994, -6.2488666, 7.953538, -0.89064306, -5.884948, 8.034941, -0.31124622, -6.895301, 7.560889, -2.030283, -6.133945, 7.7093296, -1.6663644, -6.7947445, 7.441179, -2.585738, -7.129933, 7.1490865, -2.1212628, -6.9000893, 7.0102224, -2.4372973, -7.479486, 6.7133417, -1.8052281, -7.019799, 7.4507556, -0.009576807, -6.4739213, 7.920019]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-2.3654714, -5.741296, 7.9152308, -2.135628, -5.6215854, 8.020576, -2.0733786, -5.9280434, 8.034941, -2.135628, -5.8562174, 8.0445175, -2.0829554, -5.9519854, 7.9104424, -2.054225, -5.8226986, 7.9726915, -2.0159178, -5.8705826, 8.0445175, -2.0829554, -2.4372973, 8.542512, -2.6910827, 0.110133275, 9.294291, -2.4468741, -1.6089035, 9.3661175, -2.7581203, -1.661576, 9.193734, -2.7102363, -1.982399, 9.188946, -2.657564, -1.8866309, 9.279925, -2.6910827, -2.078167, 9.332599, -2.7341783, -2.1164744, 9.184157, -2.4756045, -2.078167, 9.3421755, -2.753332, -1.8626889, 9.509769, -1.2689269, -4.4963107, 7.2352777, 0.090979666, -8.030152, 6.3063273, -0.6943185, -7.489063, 7.0820484]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [0.35913026, -5.1906295, 9.916783, 0.79966336, 0.81402856, 10.228029, -0.019153614, -0.78050977, 9.830592, -0.545878, -1.8435353, 10.189722, 0.1436521, -1.2258313, 9.89763, -1.2258313, -0.81881696, 9.931149, -3.9839516, -1.0199299, 8.8777, -1.5658079, -0.60333884, 9.595961, -1.6472107, -0.866701, 9.696517, -1.8770541, -1.0295067, 9.753978, -1.7286136, -3.2513258, 9.246407, -1.6136919, -3.0214825, 9.543288, -1.5514427, -3.083732, 9.466674, -1.5466543, -3.0933087, 9.375694, -1.4748282, -3.3806129, 9.323022, -1.3599066, -3.964798, 9.069236, -1.2545617, -4.620809, 8.887277, -2.4756045, -6.081272, 9.433155, -2.3463178, -5.4683566, 7.943961, -2.695871, -5.363012, 8.145074]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [1.7190368, -8.121132, 6.5744777, 1.6136919, -0.009576807, 5.7508726, 1.7669208, -8.834604, -4.084508, -1.1971009, -10.084377, -4.280833, 1.5705963, -8.66701, -5.9663506, -5.9759274, 3.0789435, 6.1387334, -8.954314, -3.1124623, 4.1419687, -6.742072, -3.9839516, 5.5497594, -6.469133, -3.4620156, 6.26802, -6.5601125, -3.2609026, 6.3589997, -6.7085533, -3.1842883, 6.2871737, -6.7612257, -4.237737, 5.78918, -6.885724, -4.036624, 5.6790466, -6.8186865, -4.0701427, 5.6551046, -7.2113357, -3.3327289, 5.66947, -6.9862804, -3.2130187, 5.6359506, -7.101202, -3.1028855, 5.8322754, -3.6056678, -8.1881695, 5.2385135, -5.9567738, -5.410896, 5.8322754, -4.5058875, -4.189853, 7.5561004]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [-3.0693667, -6.967127, 6.5744777, -3.0214825, -7.005434, 6.6750345, -2.954445, -7.264008, 6.4260373, -3.074155, -7.015011, 6.5026517, -3.0119057, -7.153875, 6.670246, -3.0023289, -7.0964136, 6.7229185, -3.1028855, -7.129933, 6.5984197, -2.8778305, -7.1730285, 6.5457473, -3.0310593, -7.067683, 6.5936313, 1.8339585, 3.5482068, 11.209652, -0.7469909, -1.7956513, 9.662998, -0.6560113, -3.347094, 8.647857, 1.1779473, -9.490616, -1.9680338, 3.0550013, -9.433155, 5.7987566, 2.992752, -8.149862, 5.0517654, 2.7389667, -8.145074, 5.7843914, 3.3518825, -7.5321584, 4.0653543, 3.4237084, -8.504205, 5.0613422, 3.3327289, -8.437167, 4.999093, 3.2800562, -8.365341, 5.094861]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [8.63828, -0.59376204, 5.267244, 8.796297, -0.7230489, 5.2241483, 8.748413, -0.61770403, 5.185841, 8.781932, -0.5267244, 5.195418, 8.63828, -0.15322891, 5.094861, 0.81881696, -0.07182605, 9.763555, 3.193865, -1.8100165, 10.084377, -0.90979666, -1.8626889, 9.734824, -1.5897499, -2.825158, 9.380483, -1.5705963, -2.7820623, 9.399636, -1.7238252, -2.5953147, 9.461885, -1.4269443, -2.705448, 9.519346, -1.6280571, -2.657564, 9.461885, -1.661576, -2.6384103, 9.591172, -2.030283, -9.892841, 2.2888567, -1.733402, -7.479486, 3.490746, -3.1507695, -5.6646814, 7.6135616, -3.5338416, -5.707777, 7.264008, -3.2321723, -6.220136, 7.2687964, -2.930503, -6.7851677, 6.7851677]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [4.027047, -7.249643, 6.349423, 3.2369606, -7.5704656, 5.3725886, 3.265691, -8.293514, 5.209783, 3.3854012, -9.054871, 3.9983168, 1.9919758, -9.136273, 4.414908, 1.8052281, -9.289502, 4.3382936, 1.6519991, -9.375694, 4.285621, 1.7429788, -9.457097, 4.132392, 1.70946, -9.437943, 4.4723687, 1.6328455, -9.457097, 4.2042184, -0.80445176, 3.739743, 8.6813755, -2.231396, -1.4939818, 9.437943, -2.1691468, -1.5275006, 9.5385, -2.1404164, -1.4891934, 9.485827, -2.1739352, -1.4748282, 9.615114, 8.015787, -5.741296, 2.60968, 8.853758, -3.5338416, 3.8067808, 8.595184, -1.412579, 5.195418, 8.513782, -0.89543146, 5.410896, 8.825027, -0.8619126, 5.0900726]
Data collected from user; f0bc970202270f40 with the class; 1 and value; [3.064578, -8.585608, 4.4436383, 3.040636, -8.724471, 4.9081135, 3.064578, -8.90643, 4.735731, 2.954445, -8.820239, 4.8219223, 2.9257145, -8.90643, 4.8458643, 2.9400797, -8.892065, 4.8219223, 2.9831753, -8.90643, 4.783615, 2.8060043, -8.8777, 4.7644615, 2.753332, -8.954314, 4.673482, 2.906561, -9.184157, 4.012682, 2.9879637, -9.313444, 4.185065, -1.685518, 4.6782703, 8.336611, -2.5378537, 5.81791, 4.3478703, -2.1691468, -0.59376204, 8.686164, 5.33907, -8.149862, 3.9552212, 3.7445314, -9.437943, 1.8483237, 2.815581, -9.854534, 2.5905263, 5.023035, -5.985504, 7.015011, -0.04309563, -1.4891934, 9.715671, -0.062249243, -2.7102363, 10.266336]
